model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.4,Adam,"[0.4749, 0.0068]","[0.4246, 0.0062]","[0.3868, 0.0058]","[0.5494, 0.0078]","[0.7033, 0.0051]","[0.3624, 0.0061]","[0.3006, 0.0054]","[0.2566, 0.0049]","[0.4689, 0.0071]","[0.4624, 0.0069]","[0.6699, 0.0064]","[0.7979, 0.0054]","[0.8797, 0.0043]","[0.4757, 0.007]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.4,Adam,"[0.4692, 0.0067]","[0.4198, 0.0061]","[0.3828, 0.0057]","[0.5423, 0.0078]","[0.699, 0.0051]","[0.3586, 0.006]","[0.2988, 0.0053]","[0.2551, 0.0048]","[0.4634, 0.007]","[0.4594, 0.0068]","[0.6649, 0.0065]","[0.7966, 0.0054]","[0.8758, 0.0044]","[0.4737, 0.0071]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.4,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.4,Adam,"[0.4274, 0.0064]","[0.3844, 0.0058]","[0.3522, 0.0054]","[0.4936, 0.0077]","[0.6528, 0.0052]","[0.3306, 0.0054]","[0.2793, 0.0048]","[0.2413, 0.0044]","[0.4194, 0.0067]","[0.4171, 0.0066]","[0.6237, 0.0068]","[0.7577, 0.0058]","[0.8436, 0.0047]","[0.4279, 0.0071]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.4,Adam,"[0.4561, 0.0066]","[0.408, 0.006]","[0.3721, 0.0056]","[0.5284, 0.0077]","[0.6825, 0.0051]","[0.3483, 0.0058]","[0.2903, 0.0051]","[0.2488, 0.0046]","[0.4453, 0.0069]","[0.443, 0.0067]","[0.6496, 0.0066]","[0.7772, 0.0056]","[0.8611, 0.0045]","[0.4536, 0.007]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.4,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.4,Adam,"[0.3293, 0.006]","[0.3012, 0.0053]","[0.2808, 0.0049]","[0.3731, 0.0075]","[0.5336, 0.0055]","[0.2656, 0.0049]","[0.2337, 0.0044]","[0.2112, 0.0041]","[0.3249, 0.0062]","[0.3191, 0.0063]","[0.5044, 0.0072]","[0.6349, 0.0067]","[0.7372, 0.006]","[0.3287, 0.007]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.4,Adam,"[0.4133, 0.0063]","[0.372, 0.0057]","[0.3416, 0.0053]","[0.4798, 0.0076]","[0.6376, 0.0052]","[0.3197, 0.0054]","[0.2719, 0.0048]","[0.2376, 0.0044]","[0.3979, 0.0066]","[0.4018, 0.0065]","[0.5979, 0.0067]","[0.7303, 0.0059]","[0.825, 0.005]","[0.4005, 0.0069]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.4,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.4,Adam,"[0.2495, 0.0054]","[0.2335, 0.0048]","[0.222, 0.0044]","[0.2738, 0.0068]","[0.426, 0.0052]","[0.2136, 0.0044]","[0.195, 0.004]","[0.1832, 0.0038]","[0.2495, 0.0055]","[0.2423, 0.0055]","[0.3926, 0.007]","[0.5111, 0.007]","[0.6284, 0.0066]","[0.2441, 0.0064]"
